charging_station_id,latitude,longitude,region
160396,-45.485131,170.715903,Otago
160187,-36.862698,174.749353,Auckland
160275,-40.917054,175.002489,Wellington
160508,-35.228986,173.946827,Northland
160366,-43.770308,172.790497,Unknown
160237,-38.692664,176.075956,Waikato
160330,-42.842644,171.560183,West Coast
160477,-37.7912449,175.2802788,Waikato
160338,-43.38398,170.184601,West Coast
160215,-37.891785,175.466957,Waikato
160087,-37.56470043,175.1583969,Waikato
160130,-41.28065437,174.9073127,Wellington
160497,-36.84537,174.762623,Auckland
160343,-43.489228,172.108133,Canterbury
160114,-36.39241569,174.6512969,Auckland
160494,-37.048889,174.932611,Auckland
160298,-41.291425,174.782858,Wellington
160221,-38.085223,176.701745,Bay of Plenty
160103,-36.84877494,174.7581292,Auckland
160280,-41.114321,173.010011,Unknown
160281,-41.114531,173.011033,Unknown
160264,-40.336698,175.865639,Manawatū-Whanganui
160266,-40.359871,175.612479,Manawatū-Whanganui
160270,-40.623516,175.284152,Manawatū-Whanganui
160214,-37.803753,175.769951,Waikato
160385,-44.987064,168.67157,Unknown
160096,-36.96488604,174.9126173,Auckland
160427,-43.29776068,172.1931401,Unknown
160441,-36.99040852,174.8677487,Auckland
160526,-36.759005,175.49873,Waikato
160511,-35.407799,173.800554,Northland
160479,-37.7785978,175.2748257,Waikato
160175,-36.79874,174.645674,Auckland
160315,-41.338061,173.184316,Tasman
160211,-37.746053,175.224922,Waikato
160449,-36.89243364,174.7971309,Auckland
160455,-36.86362411,174.6284814,Auckland
160119,-40.95304511,175.6572847,Wellington
160173,-41.19415154,174.9320393,Wellington
160253,-39.640836,176.843748,Hawke's Bay
160144,-43.90318226,171.7463065,Unknown
160328,-42.774278,172.846924,Unknown
160167,-46.41278628,168.3477334,Southland
160168,-41.24956549,174.7866361,Wellington
160408,-46.09977,168.94303,Southland
160452,-40.90742072,174.9996826,Wellington
160263,-40.228115,175.56948,Manawatū-Whanganui
160415,-46.41166,168.35314,Southland
160458,-36.95364994,174.790291,Auckland
160450,-36.84556541,174.7381326,Auckland
160500,-34.517702,172.840523,Northland
160084,-37.73171372,175.2225439,Waikato
160466,-43.32684659,172.5996933,Unknown
160178,-36.830041,174.796572,Auckland
160129,-41.29055552,174.8970403,Wellington
160120,-41.29427436,174.7815621,Wellington
160291,-41.270097,173.284786,Nelson
160240,-38.986666,177.791665,Hawke's Bay
160371,-44.00343,170.4769,Unknown
